from_code,to_code,count,flightdistance,flighttime,airline
ATL,SJC,640,"2,116 miles / 3405 km","4 hours, 38 minutes",Delta Air Lines
ATL,SJU,1874,"1,547 miles / 2489 km","3 hours, 5 minutes",Delta Air Lines
ATL,SLC,2860,"1,590 miles / 2559 km","3 hours, 35 minutes",Delta Air Lines
ATL,SMF,682,"2,092 miles / 3367 km","4 hours, 33 minutes",Delta Air Lines
ATL,SNA,1461,"1,919 miles / 3088 km","4 hours, 14 minutes",Delta Air Lines
ATL,SRQ,3326,"444 miles / 715 km","1 hour, 5 minutes",Delta Air Lines
ATL,STL,3958,"483 miles / 778 km","1 hour, 15 minutes",Delta Air Lines
ATL,STT,451,"1,599 miles / 2574 km","3 hours, 9 minutes",Delta Air Lines
ATL,STX,67,"1,638 miles / 2636 km","3 hours, 15 minutes",<undefined>
ATL,SWF,1617,"783 miles / 1261 km","1 hour, 49 minutes",<undefined>
ATL,SYR,1419,"793 miles / 1277 km","1 hour, 42 minutes",Delta Air Lines
ATL,TLH,2484,"224 miles / 360 km","38 minutes",Delta Air Lines
ATL,TOL,119,"549 miles / 884 km","1 hour, 36 minutes",<undefined>
ATL,TPA,7311,"406 miles / 654 km","1 hour",Delta Air Lines
ATL,TRI,1809,"227 miles / 365 km","39 minutes",Delta Air Lines
ATL,TUL,1981,"674 miles / 1084 km","1 hour, 36 minutes",Delta Air Lines
ATL,TUP,9,"253 miles / 407 km","1 hour",<undefined>
ATL,TUS,668,"1,541 miles / 2480 km","3 hours, 25 minutes",Delta Air Lines
ATL,TYS,2428,"152 miles / 244 km","29 minutes",Delta Air Lines
ATL,VLD,938,"208 miles / 335 km","37 minutes",Delta Air Lines
ATL,VPS,3046,"250 miles / 402 km","43 minutes",Delta Air Lines
ATL,XNA,1769,"589 miles / 948 km","1 hour, 27 minutes",Delta Air Lines
ATW,ATL,743,"765 miles / 1231 km","1 hour, 45 minutes",<undefined>
ATW,CHS,1,"907 miles / 1460 km","2 hours, 19 minutes",<undefined>
