iata,country_code,region_name,icao,airport,latitude,longitude
TUS,US,Arizona,KTUS,Tucson International Airport,32.1161,-110.941
OKC,US,Oklahoma,KOKC,Will Rogers World Airport,35.3931,-97.6007
ANC,US,Alaska,PANC,Ted Stevens Anchorage International Airport,61.1744,-149.996
SDF,US,Kentucky,KSDF,Louisville International Airport (Standiford Field),38.1744,-85.736
PBI,US,Florida,KPBI,Palm Beach International Airport,26.6832,-80.0956
SJC,US,California,KSJC,San Jose International Airport,37.3626,-121.929
TUL,US,Oklahoma,KTUL,Tulsa International Airport,36.1984,-95.8881
ORF,US,Virginia,KORF,Norfolk International Airport,36.8946,-76.2012
SNA,US,California,KSNA,John Wayne Airport (Orange County Airport),33.6757,-117.868
HNL,US,Hawaii,PHNL,Daniel K. Inouye International Airport,21.3206,-157.924
OMA,US,Iowa,KOMA,Eppley Airfield,41.3032,-95.8941
RNO,US,Nevada,KRNO,Reno-Tahoe International Airport,39.4991,-119.768
COS,US,Colorado,KCOS,Colorado Springs Airport,38.8058,-104.701
SJU,PR,Carolina,TJSJ,Luis Munoz Marin International Airport,18.4394,-66.0018
BUF,US,New York,KBUF,Buffalo Niagara International Airport,42.9405,-78.7322
DSM,US,Iowa,KDSM,Des Moines International Airport,41.534,-93.6631
GRR,US,Michigan,KGRR,Gerald R. Ford International Airport,42.8808,-85.5228
LIT,US,Arkansas,KLIT,Clinton National Airport (Adams Field),34.7294,-92.2243
PVD,US,Rhode Island,KPVD,Theodore Francis Green State Airport,41.7326,-71.4204
XNA,US,Arkansas,KXNA,Northwest Arkansas Regional Airport,36.2819,-94.3068
BOI,US,Idaho,KBOI,Boise Air Terminal (Gowen Field),43.5644,-116.223
LGB,US,California,KLGB,Long Beach Airport,33.8177,-118.152
MSN,US,Wisconsin,KMSN,Dane County Regional Airport (Truax Field),43.1399,-89.3375
DAL,US,Texas,KDAL,Dallas Love Field,32.8471,-96.8518
ELP,US,Texas,KELP,El Paso International Airport,31.8072,-106.378
OGG,US,Hawaii,PHOG,Kahului Airport,20.8986,-156.43
RIC,US,Virginia,KRIC,Richmond International Airport,37.5052,-77.3197
ALB,US,New York,KALB,Albany International Airport,42.7483,-73.8017
CHS,US,South Carolina,KCHS,Charleston International Airport / Charleston Air Force Base,32.8986,-80.0405
DAY,US,Ohio,KDAY,Dayton International Airport,39.9024,-84.2194
FAT,US,California,KFAT,Fresno Yosemite International Airport,36.7762,-119.718
GEG,US,Washington,KGEG,Spokane International Airport,47.6199,-117.534
MHT,US,New Hampshire,KMHT,Manchester-Boston Regional Airport,42.9326,-71.4357
PSP,US,California,KPSP,Palm Springs International Airport,33.8297,-116.507
ROC,US,New York,KROC,Greater Rochester International Airport,43.1189,-77.6724
SAV,US,Georgia,KSAV,Savannah/Hilton Head International Airport,32.1276,-81.2021
GSO,US,North Carolina,KGSO,Piedmont Triad International Airport,36.0978,-79.9373
GRB,US,Wisconsin,KGRB,Austin Straubel International Airport,44.4851,-88.1296
SRQ,US,Florida,KSRQ,Sarasota-Bradenton International Airport,27.3954,-82.5544
SYR,US,New York,KSYR,Syracuse Hancock International Airport,43.1112,-76.1063
TYS,US,Tennessee,KTYS,McGhee Tyson Airport,35.811,-83.994
